"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"99404499999","2014-01-01","38.92","-123.7","2.0","ARENA COVE, CA US","  46.1","24","9999.9"," 0","1022.5","24","999.9"," 0","999.9"," 0","  3.2","24","  8.0","999.9","  53.1","*","  39.0","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-02","38.92","-123.7","2.0","ARENA COVE, CA US","  46.3","24","9999.9"," 0","1021.2","24","999.9"," 0","999.9"," 0","  2.5","24","  6.0","999.9","  51.6","*","  39.6","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-03","38.92","-123.7","2.0","ARENA COVE, CA US","  47.9","24","9999.9"," 0","1018.0","24","999.9"," 0","999.9"," 0","  5.3","24","  8.0"," 13.0","  54.9","*","  42.6","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-04","38.92","-123.7","2.0","ARENA COVE, CA US","  47.2","23","9999.9"," 0","1016.5","23","999.9"," 0","999.9"," 0","  2.1","23","  6.0"," 12.0","  52.5","*","  40.8","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-05","38.92","-123.7","2.0","ARENA COVE, CA US","  45.7","24","9999.9"," 0","1019.7","24","999.9"," 0","999.9"," 0","  5.2","24","  9.9"," 12.0","  54.5","*","  38.5","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-06","38.92","-123.7","2.0","ARENA COVE, CA US","  47.9","24","9999.9"," 0","1022.7","24","999.9"," 0","999.9"," 0","  5.7","24","  8.9","  9.9","  57.4","*","  41.4","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-07","38.92","-123.7","2.0","ARENA COVE, CA US","  50.8","24","9999.9"," 0","1021.8","24","999.9"," 0","999.9"," 0","  4.3","24","  8.9","999.9","  56.7","*","  45.1","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-08","38.92","-123.7","2.0","ARENA COVE, CA US","  51.4","23","9999.9"," 0","1022.8","23","999.9"," 0","999.9"," 0","  2.2","23","  7.0","  9.9","  55.4","*","  50.0","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-09","38.92","-123.7","2.0","ARENA COVE, CA US","  51.5","24","9999.9"," 0","1024.0","24","999.9"," 0","999.9"," 0","  2.7","24","  6.0","  9.9","  53.8","*","  49.6","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-10","38.92","-123.7","2.0","ARENA COVE, CA US","  50.1","24","9999.9"," 0","1025.2","24","999.9"," 0","999.9"," 0","  2.7","24","  7.0","  9.9","  52.3","*","  47.1","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-11","38.92","-123.7","2.0","ARENA COVE, CA US","  49.4","24","9999.9"," 0","1022.8","24","999.9"," 0","999.9"," 0","  3.7","24","  7.0"," 12.0","  54.9","*","  44.8","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-12","38.92","-123.7","2.0","ARENA COVE, CA US","  50.4","24","9999.9"," 0","1027.2","24","999.9"," 0","999.9"," 0","  3.6","24","  9.9"," 15.0","  54.3","*","  45.1","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-13","38.92","-123.7","2.0","ARENA COVE, CA US","  49.4","24","9999.9"," 0","1029.7","24","999.9"," 0","999.9"," 0","  3.9","24","  6.0"," 13.0","  55.4","*","  43.7","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-14","38.92","-123.7","2.0","ARENA COVE, CA US","  47.9","24","9999.9"," 0","1029.8","24","999.9"," 0","999.9"," 0","  5.7","24","  9.9"," 11.1","  61.7","*","  40.6","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-15","38.92","-123.7","2.0","ARENA COVE, CA US","  49.8","24","9999.9"," 0","1026.7","24","999.9"," 0","999.9"," 0","  5.0","24","  9.9"," 13.0","  59.9","*","  42.3","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-16","38.92","-123.7","2.0","ARENA COVE, CA US","  50.8","24","9999.9"," 0","1022.7","24","999.9"," 0","999.9"," 0","  5.0","24","  9.9"," 11.1","  61.2","*","  45.0","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-17","38.92","-123.7","2.0","ARENA COVE, CA US","  52.5","23","9999.9"," 0","1020.6","23","999.9"," 0","999.9"," 0","  5.6","23","  9.9"," 11.1","  66.0","*","  45.0","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-18","38.92","-123.7","2.0","ARENA COVE, CA US","  51.6","24","9999.9"," 0","1020.5","24","999.9"," 0","999.9"," 0","  4.7","24","  8.9"," 11.1","  65.3","*","  43.7","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-19","38.92","-123.7","2.0","ARENA COVE, CA US","  46.8","24","9999.9"," 0","1019.1","24","999.9"," 0","999.9"," 0","  4.5","24","  7.0"," 11.1","  56.8","*","  39.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-20","38.92","-123.7","2.0","ARENA COVE, CA US","  48.4","24","9999.9"," 0","1020.3","24","999.9"," 0","999.9"," 0","  6.1","24"," 11.1"," 12.0","  56.3","*","  41.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-21","38.92","-123.7","2.0","ARENA COVE, CA US","  45.6","23","9999.9"," 0","1023.8","23","999.9"," 0","999.9"," 0","  5.2","23"," 11.1"," 15.9","  52.2","*","  38.5","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-22","38.92","-123.7","2.0","ARENA COVE, CA US","  48.8","24","9999.9"," 0","1021.6","24","999.9"," 0","999.9"," 0","  4.2","24","  8.9"," 14.0","  53.8","*","  42.6","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-23","38.92","-123.7","2.0","ARENA COVE, CA US","  49.2","24","9999.9"," 0","1013.8","24","999.9"," 0","999.9"," 0","  3.0","24","  8.0"," 12.0","  59.2","*","  41.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-24","38.92","-123.7","2.0","ARENA COVE, CA US","  54.1","24","9999.9"," 0","1016.8","24","999.9"," 0","999.9"," 0","  8.2","24"," 13.0"," 20.0","  61.3","*","  46.4","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-25","38.92","-123.7","2.0","ARENA COVE, CA US","  54.9","24","9999.9"," 0","1023.7","24","999.9"," 0","999.9"," 0","  6.7","24"," 13.0"," 20.0","  60.8","*","  48.7","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-26","38.92","-123.7","2.0","ARENA COVE, CA US","  52.2","24","9999.9"," 0","1020.0","24","999.9"," 0","999.9"," 0","  3.9","24","  6.0","999.9","  58.8","*","  44.6","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-27","38.92","-123.7","2.0","ARENA COVE, CA US","  49.1","24","9999.9"," 0","1020.1","24","999.9"," 0","999.9"," 0","  2.7","24","  8.9"," 12.0","  55.6","*","  46.0","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-28","38.92","-123.7","2.0","ARENA COVE, CA US","  53.4","24","9999.9"," 0","1022.7","24","999.9"," 0","999.9"," 0","  2.6","24","  8.0"," 11.1","  56.3","*","  51.3","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-29","38.92","-123.7","2.0","ARENA COVE, CA US","  54.3","24","9999.9"," 0","1022.2","24","999.9"," 0","999.9"," 0","  2.5","24","  5.1","999.9","  55.4","*","  52.3","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-30","38.92","-123.7","2.0","ARENA COVE, CA US","  52.1","24","9999.9"," 0","1015.7","24","999.9"," 0","999.9"," 0","  3.9","24","  9.9"," 14.0","  53.4","*","  50.4","*"," 0.00","I","999.9","000000"
"99404499999","2014-01-31","38.92","-123.7","2.0","ARENA COVE, CA US","  49.4","24","9999.9"," 0","1016.6","24","999.9"," 0","999.9"," 0","  4.0","24","  9.9"," 15.9","  52.2","*","  45.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-01","38.92","-123.7","2.0","ARENA COVE, CA US","  47.2","24","9999.9"," 0","1021.0","24","999.9"," 0","999.9"," 0","  3.9","24","  9.9"," 14.0","  51.4","*","  41.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-02","38.92","-123.7","2.0","ARENA COVE, CA US","  47.3","24","9999.9"," 0","1013.6","24","999.9"," 0","999.9"," 0","  8.5","24"," 14.0"," 20.0","  50.4","*","  41.4","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-03","38.92","-123.7","2.0","ARENA COVE, CA US","  45.3","24","9999.9"," 0","1016.8","24","999.9"," 0","999.9"," 0","  5.3","24","  9.9"," 18.1","  50.7","*","  38.5","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-04","38.92","-123.7","2.0","ARENA COVE, CA US","  47.2","24","9999.9"," 0","1020.1","24","999.9"," 0","999.9"," 0","  3.9","24"," 12.0"," 17.1","  50.0","*","  44.8","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-05","38.92","-123.7","2.0","ARENA COVE, CA US","  45.4","24","9999.9"," 0","1021.7","24","999.9"," 0","999.9"," 0","  2.7","24","  6.0"," 13.0","  49.6","*","  40.6","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-06","38.92","-123.7","2.0","ARENA COVE, CA US","  48.3","24","9999.9"," 0","1014.8","24","999.9"," 0","999.9"," 0","  6.3","24"," 12.0"," 18.1","  52.5","*","  43.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-07","38.92","-123.7","2.0","ARENA COVE, CA US","  50.0","24","9999.9"," 0","1015.0","24","999.9"," 0","999.9"," 0","  6.9","24"," 17.1"," 24.1","  52.0","*","  47.5","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-08","38.92","-123.7","2.0","ARENA COVE, CA US","  54.3","24","9999.9"," 0","1015.4","24","999.9"," 0","999.9"," 0","  7.8","24"," 15.9"," 22.9","  55.8","*","  52.7","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-09","38.92","-123.7","2.0","ARENA COVE, CA US","  55.1","24","9999.9"," 0","1018.1","24","999.9"," 0","999.9"," 0","  5.3","24"," 12.0"," 17.1","  56.3","*","  54.5","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-10","38.92","-123.7","2.0","ARENA COVE, CA US","  53.0","24","9999.9"," 0","1021.2","24","999.9"," 0","999.9"," 0","  5.0","24","  9.9"," 15.9","  55.6","*","  50.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-11","38.92","-123.7","2.0","ARENA COVE, CA US","  49.8","24","9999.9"," 0","1024.7","24","999.9"," 0","999.9"," 0","  2.9","24","  7.0","  9.9","  51.1","*","  48.4","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-12","38.92","-123.7","2.0","ARENA COVE, CA US","  49.6","24","9999.9"," 0","1023.8","24","999.9"," 0","999.9"," 0","  4.3","24","  7.0","999.9","  52.9","*","  45.3","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-13","38.92","-123.7","2.0","ARENA COVE, CA US","  52.9","24","9999.9"," 0","1022.4","24","999.9"," 0","999.9"," 0","  4.0","24","  7.0"," 11.1","  54.7","*","  51.8","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-14","38.92","-123.7","2.0","ARENA COVE, CA US","  54.8","24","9999.9"," 0","1020.5","24","999.9"," 0","999.9"," 0","  2.9","24","  5.1","  9.9","  57.9","*","  53.4","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-15","38.92","-123.7","2.0","ARENA COVE, CA US","  55.1","23","9999.9"," 0","1016.4","23","999.9"," 0","999.9"," 0","  7.1","23"," 14.0"," 21.0","  56.1","*","  54.0","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-16","38.92","-123.7","2.0","ARENA COVE, CA US","  51.7","24","9999.9"," 0","1019.3","24","999.9"," 0","999.9"," 0","  4.9","24"," 12.0"," 18.1","  55.2","*","  44.2","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-17","38.92","-123.7","2.0","ARENA COVE, CA US","  49.1","24","9999.9"," 0","1022.2","24","999.9"," 0","999.9"," 0","  4.3","24","  9.9"," 14.0","  55.9","*","  43.3","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-18","38.92","-123.7","2.0","ARENA COVE, CA US","  52.5","24","9999.9"," 0","1022.6","24","999.9"," 0","999.9"," 0","  3.8","24","  8.9"," 12.0","  56.8","*","  48.4","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-19","38.92","-123.7","2.0","ARENA COVE, CA US","  52.7","24","9999.9"," 0","1021.7","24","999.9"," 0","999.9"," 0","  4.8","24"," 12.0"," 19.0","  55.6","*","  49.3","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-20","38.92","-123.7","2.0","ARENA COVE, CA US","  50.6","24","9999.9"," 0","1024.0","24","999.9"," 0","999.9"," 0","  4.4","24","  8.0"," 15.0","  55.0","*","  47.8","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-21","38.92","-123.7","2.0","ARENA COVE, CA US","  50.3","24","9999.9"," 0","1020.8","24","999.9"," 0","999.9"," 0","  3.7","24","  8.9"," 14.0","  55.0","*","  45.3","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-22","38.92","-123.7","2.0","ARENA COVE, CA US","  50.3","24","9999.9"," 0","1017.2","24","999.9"," 0","999.9"," 0","  3.5","24","  9.9"," 13.0","  54.1","*","  47.7","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-23","38.92","-123.7","2.0","ARENA COVE, CA US","  47.2","24","9999.9"," 0","1016.1","24","999.9"," 0","999.9"," 0","  3.9","24","  8.0"," 13.0","  50.5","*","  43.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-24","38.92","-123.7","2.0","ARENA COVE, CA US","  48.3","24","9999.9"," 0","1015.6","24","999.9"," 0","999.9"," 0","  3.2","24","  8.0","999.9","  55.9","*","  39.9","*"," 0.00","I","999.9","000000"
"99404499999","2014-02-25","38.92","-123.7","2.0","ARENA COVE, CA US","  50.4","24","9999.9"," 0","1014.0","24","999.9"," 0","999.9"," 0","  7.2","24"," 14.0"," 21.0","  56.7","*","  44.8","*"," 0.00","I","999.9","000000"
