"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"A0705300346","2021-09-21","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  81.9"," 7","  31.2"," 7","9999.9"," 0","936.7"," 7"," 10.0"," 7","  4.7"," 7","  8.0","999.9","  89.6","*","  68.0","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-22","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  64.8","24","  38.2","24","9999.9"," 0","936.9","24"," 10.0","24","  2.9","24"," 13.0"," 18.1","  87.8","*","  48.2","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-23","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  65.4","24","  37.1","24","9999.9"," 0","934.9","24"," 10.0","24","  2.5","24","  8.9"," 14.0","  89.6","*","  46.4","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-24","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  67.5","24","  36.9","24","9999.9"," 0","932.4","24"," 10.0","24","  2.3","24","  6.0","999.9","  93.2","*","  48.2","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-25","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  66.8","24","  37.1","24","9999.9"," 0","931.2","24","  9.8","24","  2.7","24","  9.9"," 14.0","  93.2","*","  48.2","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-26","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  63.8","24","  38.7","24","9999.9"," 0","930.9","24","  9.9","24","  3.3","24"," 11.1"," 15.0","  84.2","*","  46.4","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-27","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  73.4"," 4","  37.8"," 4","9999.9"," 0","929.6"," 4"," 10.0"," 4","  5.7"," 4","  9.9","999.9","  80.6","*","  64.4","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-28","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  42.7","13","  40.2","13","9999.9"," 0","934.6","13"," 10.0","13","  2.3","13","  5.1","999.9","  51.8","*","  37.4","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-29","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  64.7"," 7","  33.3"," 7","9999.9"," 0","934.4"," 7","  9.9"," 7","  0.8"," 7","  4.1","999.9","  77.0","*","  50.0","*"," 0.00","I","999.9","000000"
"A0705300346","2021-09-30","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  57.9","24","  34.1","24","9999.9"," 0","935.7","24"," 10.0","24","  2.0","24","  5.1","999.9","  84.2","*","  39.2","*"," 0.00","I","999.9","000000"
"A0705300346","2021-10-01","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  59.8","17","  36.3","17","9999.9"," 0","934.2","17","  9.9","17","  1.2","17","  5.1","999.9","  84.2","*","  42.8","*"," 0.00","I","999.9","000000"
"A0705300346","2021-10-02","40.983","-122.694","728.2","TRINITY CENTER AIRPORT, CA US","  62.4","24","  37.7","24","9999.9"," 0","934.7","24","  9.7","24","  2.1","24","  7.0","999.9","  87.8","*","  44.6","*"," 0.00","I","999.9","000000"
