fire_id,fire_date,fire_latitude,fire_longitude,fire_frp,confidence,station_id,station_name,station_distance_km,fire_month,fire_year,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
0,2017-08-04,32.549,-116.921,18.2,76,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1030.8828180113524,8,2017,86.32333333333334,111.0,104.23666666666666,0.0,30,5.503333333333333,17.1,51.163333333333334,863.2333333333333
1,2017-04-12,32.5493,-114.6213,32.8,78,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1195.8617620159705,4,2017,57.40666666666667,84.9,70.84666666666666,3.71,19,7.646666666666667,28.9,44.74999999999999,15.067366579177603
2,2017-04-26,32.5495,-114.6237,17.8,62,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1195.65735340149,4,2017,57.47,84.9,70.69333333333333,2.3799999999999994,18,7.796666666666667,28.9,43.27333333333333,23.173387096774196
3,2017-04-12,32.553000000000004,-114.6275,89.4,95,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1195.0843416131167,4,2017,57.40666666666667,84.9,70.84666666666666,3.71,19,7.646666666666667,28.9,44.74999999999999,15.067366579177603
4,2017-04-12,32.5558,-114.6126,38.0,81,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1196.0374529298804,4,2017,57.40666666666667,84.9,70.84666666666666,3.71,19,7.646666666666667,28.9,44.74999999999999,15.067366579177603
5,2017-05-02,32.556999999999995,-114.616,66.3,99,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1195.675895555676,5,2017,58.55333333333333,90.0,72.0,2.2799999999999994,17,7.486666666666666,28.9,43.71333333333334,24.60224089635855
6,2017-04-12,32.5579,-114.6184,159.6,96,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1195.4165497078861,4,2017,57.40666666666667,84.9,70.84666666666666,3.71,19,7.646666666666667,28.9,44.74999999999999,15.067366579177603
7,2017-05-02,32.5587,-114.6267,39.0,89,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1194.7008084011288,5,2017,58.55333333333333,90.0,72.0,2.2799999999999994,17,7.486666666666666,28.9,43.71333333333334,24.60224089635855
8,2017-03-13,32.5773,-114.6167,27.7,55,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1194.0330689201535,3,2017,50.68333333333332,82.0,64.00666666666667,3.6199999999999997,18,7.546666666666668,28.9,40.10666666666667,13.624551971326163
9,2017-03-11,32.5787,-114.6019,14.1,51,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1195.090791271642,3,2017,50.58666666666667,77.0,62.84666666666667,3.9799999999999995,16,8.313333333333334,31.1,40.79,12.39869281045752
10,2017-06-30,32.5797,-114.6953,15.1,52,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1187.6654802411554,6,2017,79.48333333333333,113.0,95.73000000000002,0.6000000000000001,26,7.379999999999998,21.0,51.089999999999996,113.54761904761904
11,2017-03-11,32.5814,-114.587,16.8,52,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1196.0563666949556,3,2017,50.58666666666667,77.0,62.84666666666667,3.9799999999999995,16,8.313333333333334,31.1,40.79,12.39869281045752
12,2017-03-07,32.5852,-114.6033,9.6,63,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1194.4729018108633,3,2017,50.61333333333334,70.0,61.85666666666666,4.889999999999999,14,9.653333333333334,35.0,41.57333333333333,10.14295257181029
13,2017-03-07,32.5867,-114.5923,16.5,75,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1195.2244018350261,3,2017,50.61333333333334,70.0,61.85666666666666,4.889999999999999,14,9.653333333333334,35.0,41.57333333333333,10.14295257181029
14,2017-01-17,32.5882,-114.6171,28.8,84,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1193.149880914103,1,2017,44.71875,63.0,55.55625,3.88,7,8.60625,36.9,37.04375,11.235866834170855
15,2017-01-17,32.5924,-114.6176,111.9,86,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1192.7824375433788,1,2017,44.71875,63.0,55.55625,3.88,7,8.60625,36.9,37.04375,11.235866834170855
16,2017-03-16,32.5976,-114.6087,58.5,96,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1193.079014263512,3,2017,51.489999999999995,82.0,65.14333333333333,3.53,19,7.236666666666667,28.9,41.13333333333334,14.18457300275482
17,2017-01-17,32.6064,-114.6221,34.6,70,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1191.334464157179,1,2017,44.71875,63.0,55.55625,3.88,7,8.60625,36.9,37.04375,11.235866834170855
18,2017-01-17,32.613,-114.5929,41.4,73,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1193.1277142444194,1,2017,44.71875,63.0,55.55625,3.88,7,8.60625,36.9,37.04375,11.235866834170855
19,2017-01-17,32.6144,-114.5987,20.9,80,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1192.5598668536427,1,2017,44.71875,63.0,55.55625,3.88,7,8.60625,36.9,37.04375,11.235866834170855
20,2017-04-12,32.6149,-114.5792,45.5,68,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1194.0643814432024,4,2017,57.40666666666667,84.9,70.84666666666666,3.71,19,7.646666666666667,28.9,44.74999999999999,15.067366579177603
21,2017-04-12,32.616,-114.5734,82.2,86,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1194.4383197129612,4,2017,57.40666666666667,84.9,70.84666666666666,3.71,19,7.646666666666667,28.9,44.74999999999999,15.067366579177603
22,2017-01-17,32.6238,-114.5965,18.3,78,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1192.0022234790335,1,2017,44.71875,63.0,55.55625,3.88,7,8.60625,36.9,37.04375,11.235866834170855
23,2017-08-04,32.634,-114.5326,106.8,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1196.2807513310454,8,2017,86.32333333333334,111.0,104.23666666666666,0.0,30,5.503333333333333,17.1,51.163333333333334,863.2333333333333
24,2017-08-04,32.6366,-114.5468,28.4,53,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1194.9503851624577,8,2017,86.32333333333334,111.0,104.23666666666666,0.0,30,5.503333333333333,17.1,51.163333333333334,863.2333333333333
25,2017-10-21,32.6415,-116.3616,193.6,99,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1059.6581024515795,10,2017,66.80333333333333,93.9,84.77333333333333,0.7100000000000001,28,7.676666666666666,28.0,31.806666666666665,82.47325102880657
26,2017-10-21,32.6454,-116.342,25.8,56,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1060.6624097837441,10,2017,66.80333333333333,93.9,84.77333333333333,0.7100000000000001,28,7.676666666666666,28.0,31.806666666666665,82.47325102880657
27,2017-05-20,32.6472,-116.8258,62.0,66,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1028.1365371367149,5,2017,66.03,96.1,82.61999999999999,0.16,23,7.846666666666667,22.9,42.29666666666667,253.96153846153845
28,2017-07-27,32.6492,-115.6065,7.6,82,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1112.713596947981,7,2017,84.84333333333333,111.0,102.15666666666668,0.0,30,5.63,17.1,51.11333333333334,848.4333333333333
29,2017-05-20,32.65,-116.8026,21.8,68,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1029.396610244104,5,2017,66.03,96.1,82.61999999999999,0.16,23,7.846666666666667,22.9,42.29666666666667,253.96153846153845
30,2017-01-17,32.6515,-114.5589,9.7,69,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1192.834163381643,1,2017,44.71875,63.0,55.55625,3.88,7,8.60625,36.9,37.04375,11.235866834170855
31,2017-05-20,32.6516,-116.8168,18.0,62,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1028.3269482989867,5,2017,66.03,96.1,82.61999999999999,0.16,23,7.846666666666667,22.9,42.29666666666667,253.96153846153845
32,2017-05-20,32.6569,-116.8211,79.8,75,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1027.5704946278981,5,2017,66.03,96.1,82.61999999999999,0.16,23,7.846666666666667,22.9,42.29666666666667,253.96153846153845
33,2017-05-20,32.6576,-116.8095,39.7,83,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1028.263927224691,5,2017,66.03,96.1,82.61999999999999,0.16,23,7.846666666666667,22.9,42.29666666666667,253.96153846153845
34,2017-05-20,32.6612,-116.8264,82.2,76,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1026.838776122064,5,2017,66.03,96.1,82.61999999999999,0.16,23,7.846666666666667,22.9,42.29666666666667,253.96153846153845
35,2017-08-02,32.6799,-115.6208,71.4,88,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1109.110960663143,8,2017,85.84000000000002,111.0,103.67,0.0,30,5.556666666666667,17.1,50.72333333333333,858.4000000000001
36,2017-08-02,32.6832,-115.6036,70.0,88,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1110.1058755640147,8,2017,85.84000000000002,111.0,103.67,0.0,30,5.556666666666667,17.1,50.72333333333333,858.4000000000001
37,2017-08-02,32.691,-115.6238,26.8,68,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1107.9686600223395,8,2017,85.84000000000002,111.0,103.67,0.0,30,5.556666666666667,17.1,50.72333333333333,858.4000000000001
40,2017-08-16,32.6978,-114.1362,36.3,92,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1223.390978917083,8,2017,84.74666666666667,108.0,101.80333333333333,0.0,30,5.253333333333334,17.1,54.83000000000001,847.4666666666667
41,2017-05-18,32.706,-115.4505,151.8,77,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1119.6101673975704,5,2017,65.20333333333333,96.1,81.25333333333333,0.16,23,7.89,22.9,43.153333333333336,250.78205128205127
42,2017-05-18,32.7106,-115.456,116.6,70,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1118.8214144501324,5,2017,65.20333333333333,96.1,81.25333333333333,0.16,23,7.89,22.9,43.153333333333336,250.78205128205127
