latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime,day,confidence_level,frp_category
32.4937,-114.7856,2013-02-06,Terra,MODIS,26.9,0,296.1,65,2013,2,2013-02-06,6,medium,medium-low
32.5006,-114.7917,2013-02-06,Terra,MODIS,45.0,0,296.4,74,2013,2,2013-02-06,6,high,medium-low
32.5356,-114.7262,2013-09-16,Terra,MODIS,51.8,0,318.2,86,2013,9,2013-09-16,16,high,medium-high
32.5373,-114.7425,2013-09-16,Terra,MODIS,48.0,0,316.3,84,2013,9,2013-09-16,16,high,medium-high
32.5843,-114.6333,2013-08-27,Terra,MODIS,73.5,0,304.3,99,2013,8,2013-08-27,27,high,medium-high
32.5926,-114.5898,2013-11-25,Aqua,MODIS,5.2,0,292.8,51,2013,11,2013-11-25,25,medium,low
32.6023,-114.5952,2013-10-23,Terra,MODIS,11.6,0,303.0,57,2013,10,2013-10-23,23,medium,low
32.6045,-114.6166,2013-10-17,Aqua,MODIS,14.1,0,306.2,57,2013,10,2013-10-17,17,medium,low
32.6088,-114.5874,2013-03-12,Aqua,MODIS,12.1,0,308.7,62,2013,3,2013-03-12,12,medium,low
32.6117,-114.605,2013-10-03,Terra,MODIS,22.4,0,305.8,55,2013,10,2013-10-03,3,medium,medium-low
32.6134,-114.6083,2013-10-07,Terra,MODIS,17.5,0,307.0,79,2013,10,2013-10-07,7,high,low
32.6136,-114.6103,2013-10-03,Terra,MODIS,33.1,0,306.6,73,2013,10,2013-10-03,3,high,medium-low
32.6141,-114.6078,2013-10-14,Terra,MODIS,11.6,0,304.0,58,2013,10,2013-10-14,14,medium,low
32.6141,-114.5833,2013-03-11,Terra,MODIS,54.2,0,302.3,91,2013,3,2013-03-11,11,high,medium-high
32.6161,-114.5953,2013-03-11,Terra,MODIS,16.7,0,299.0,67,2013,3,2013-03-11,11,medium,low
32.617,-114.5833,2013-03-13,Terra,MODIS,16.0,0,306.1,70,2013,3,2013-03-13,13,medium,low
32.6184,-114.7843,2013-08-16,Aqua,MODIS,36.2,0,315.3,78,2013,8,2013-08-16,16,high,medium-low
32.6198,-114.7682,2013-08-16,Terra,MODIS,22.9,0,313.4,66,2013,8,2013-08-16,16,medium,medium-low
32.6222,-114.7655,2013-08-16,Aqua,MODIS,87.5,0,313.0,92,2013,8,2013-08-16,16,high,medium-high
32.6234,-114.7789,2013-08-16,Aqua,MODIS,79.0,0,313.9,90,2013,8,2013-08-16,16,high,medium-high
32.6271,-114.76,2013-08-16,Aqua,MODIS,32.6,0,312.0,77,2013,8,2013-08-16,16,high,medium-low
32.6298,-114.7598,2013-08-16,Terra,MODIS,62.3,0,310.1,87,2013,8,2013-08-16,16,high,medium-high
