event_id,start_date,end_date,duration_days,num_detections,latitude,longitude,max_frp,avg_frp,total_frp,max_confidence,avg_confidence,year,month,day
0,2017-01-17,2017-01-17,1,7,32.5924,-114.6176,111.9,37.94285714285714,265.6,86,77.14285714285714,2017,1,17
1,2017-01-04,2017-01-04,1,2,32.693000000000005,-115.0047,54.5,39.4,78.8,94,89.0,2017,1,4
2,2017-01-14,2017-01-17,4,2,33.6972,-114.5815,10.5,8.6,17.2,57,57.0,2017,1,14
3,2017-01-24,2017-01-24,1,1,33.8064,-115.4095,12.2,12.2,12.2,54,54.0,2017,1,24
4,2017-01-27,2017-01-27,1,1,33.8937,-116.3681,4.1,4.1,4.1,63,63.0,2017,1,27
5,2017-01-18,2017-01-18,1,1,33.9229,-114.4334,9.7,9.7,9.7,62,62.0,2017,1,18
6,2017-01-17,2017-01-31,15,2,34.0948,-117.5331,5.7,5.2,10.4,65,62.5,2017,1,17
7,2017-01-17,2017-01-31,15,2,34.3998,-118.9651,21.4,13.2,26.4,81,71.5,2017,1,17
8,2017-01-31,2017-01-31,1,1,34.4194,-119.2665,5.1,5.1,5.1,59,59.0,2017,1,31
9,2017-01-16,2017-01-16,1,1,34.8495,-117.1942,9.9,9.9,9.9,70,70.0,2017,1,16
10,2017-01-31,2017-01-31,1,7,34.8735,-114.5802,88.1,57.228571428571435,400.6,93,85.71428571428571,2017,1,31
11,2017-01-25,2017-01-25,1,10,35.346,-120.0707,723.5,129.39000000000001,1293.9,94,76.0,2017,1,25
12,2017-01-11,2017-01-11,1,1,35.491,-119.2528,11.1,11.1,11.1,57,57.0,2017,1,11
13,2017-01-16,2017-01-16,1,2,35.5952,-119.1154,27.4,24.7,49.4,81,81.0,2017,1,16
14,2017-01-06,2017-01-29,24,10,36.1787,-120.1798,52.5,13.84,138.4,93,67.3,2017,1,6
15,2017-01-29,2017-01-29,1,1,36.2224,-119.9955,5.9,5.9,5.9,56,56.0,2017,1,29
16,2017-01-25,2017-01-25,1,2,36.2442,-120.184,13.5,10.55,21.1,74,68.5,2017,1,25
17,2017-01-25,2017-01-29,5,2,36.3736,-120.1135,21.5,16.7,33.4,82,78.0,2017,1,29
18,2017-01-25,2017-01-29,5,3,36.4309,-120.3452,19.3,11.733333333333334,35.2,80,67.33333333333333,2017,1,29
19,2017-01-25,2017-01-29,5,3,36.5261,-120.3028,16.9,9.5,28.5,77,62.666666666666664,2017,1,29
20,2017-01-25,2017-01-29,5,3,36.5209,-120.1135,25.3,12.5,37.5,78,64.0,2017,1,29
21,2017-01-31,2017-01-31,1,2,36.5441,-114.433,12.8,12.350000000000001,24.700000000000003,71,70.5,2017,1,31
22,2017-01-31,2017-01-31,1,1,36.6939,-114.6895,6.5,6.5,6.5,55,55.0,2017,1,31
23,2017-01-25,2017-01-25,1,1,36.7229,-120.4331,5.3,5.3,5.3,56,56.0,2017,1,25
24,2017-01-06,2017-01-06,1,1,36.8529,-120.2954,11.7,11.7,11.7,68,68.0,2017,1,6
25,2017-01-06,2017-01-06,1,2,37.0375,-120.3484,26.5,25.35,50.7,82,67.0,2017,1,6
26,2017-01-31,2017-01-31,1,2,37.8589,-119.9668,80.2,44.9,89.8,79,69.5,2017,1,31
27,2017-01-05,2017-01-05,1,1,38.8144,-122.6837,51.1,51.1,51.1,90,90.0,2017,1,5
28,2017-02-13,2017-02-13,1,3,32.7746,-115.67,78.7,56.6,169.8,74,70.66666666666667,2017,2,13
29,2017-02-01,2017-02-16,16,3,32.7834,-116.6445,25.3,16.3,48.9,80,66.33333333333333,2017,2,1
30,2017-02-09,2017-02-09,1,2,32.828,-116.528,12.3,11.100000000000001,22.200000000000003,64,60.5,2017,2,9
31,2017-02-24,2017-02-24,1,2,32.9016,-115.5385,32.3,26.75,53.5,75,73.0,2017,2,24
32,2017-02-14,2017-02-14,1,1,33.0856,-115.7452,17.1,17.1,17.1,68,68.0,2017,2,14
33,2017-02-01,2017-02-01,1,1,33.0935,-115.503,25.8,25.8,25.8,74,74.0,2017,2,1
34,2017-02-01,2017-02-14,14,3,33.2413,-115.5391,14.3,11.6,34.8,60,56.0,2017,2,1
35,2017-02-02,2017-02-02,1,2,33.6474,-117.4407,84.9,49.050000000000004,98.10000000000001,99,86.0,2017,2,2
36,2017-02-09,2017-02-25,17,2,33.8459,-115.4099,44.9,31.1,62.2,79,73.5,2017,2,9
37,2017-02-23,2017-02-23,1,1,34.0918,-117.5305,7.6,7.6,7.6,68,68.0,2017,2,23
38,2017-02-23,2017-02-23,1,1,34.2063,-119.1335,29.1,29.1,29.1,86,86.0,2017,2,23
39,2017-02-01,2017-02-01,1,2,34.2773,-118.9759,5.9,5.6,11.2,63,62.0,2017,2,1
40,2017-02-14,2017-02-28,15,6,34.3114,-119.132,35.8,17.799999999999997,106.79999999999998,88,70.83333333333333,2017,2,24
41,2017-02-14,2017-02-14,1,1,34.4174,-119.2702,7.9,7.9,7.9,53,53.0,2017,2,14
42,2017-02-21,2017-02-24,4,2,35.0541,-118.9044,10.8,10.5,21.0,64,63.0,2017,2,24
43,2017-02-05,2017-02-05,1,1,35.2086,-119.0434,24.2,24.2,24.2,97,97.0,2017,2,5
44,2017-02-12,2017-02-26,15,5,35.2235,-118.862,28.9,16.160000000000004,80.80000000000001,84,70.4,2017,2,12
45,2017-02-04,2017-02-28,25,2,35.4896,-119.1904,50.8,38.8,77.6,77,75.0,2017,2,4
46,2017-02-24,2017-02-24,1,1,35.5732,-119.2357,29.3,29.3,29.3,85,85.0,2017,2,24
47,2017-02-28,2017-02-28,1,2,35.6491,-120.5842,13.6,10.7,21.4,68,63.5,2017,2,28
48,2017-02-28,2017-02-28,1,3,35.7029,-119.2088,22.4,15.833333333333334,47.5,81,68.66666666666667,2017,2,28
49,2017-02-24,2017-02-28,5,21,35.9049,-119.8741,165.5,62.433333333333316,1311.0999999999997,100,81.14285714285714,2017,2,28
50,2017-02-22,2017-02-22,1,1,36.0107,-119.976,13.1,13.1,13.1,64,64.0,2017,2,22
51,2017-02-28,2017-02-28,1,1,36.064,-121.0075,10.1,10.1,10.1,56,56.0,2017,2,28
52,2017-02-16,2017-02-16,1,1,36.0739,-115.4495,11.0,11.0,11.0,67,67.0,2017,2,16
53,2017-02-13,2017-02-13,1,1,36.1587,-119.1484,17.3,17.3,17.3,64,64.0,2017,2,13
54,2017-02-01,2017-02-01,1,1,36.4583,-121.4789,8.5,8.5,8.5,66,66.0,2017,2,1
55,2017-02-03,2017-02-03,1,1,36.4802,-119.9116,11.4,11.4,11.4,71,71.0,2017,2,3
56,2017-02-03,2017-02-03,1,1,36.5533,-120.5139,6.0,6.0,6.0,55,55.0,2017,2,3
57,2017-02-28,2017-02-28,1,1,36.5601,-119.7381,9.3,9.3,9.3,71,71.0,2017,2,28
58,2017-02-19,2017-02-28,10,4,36.6381,-120.1174,23.0,12.225000000000001,48.900000000000006,70,60.75,2017,2,19
59,2017-02-28,2017-02-28,1,2,36.6446,-119.8418,30.0,19.2,38.4,83,68.0,2017,2,28
60,2017-02-03,2017-02-03,1,2,36.6747,-120.5266,11.0,9.1,18.2,65,59.0,2017,2,3
61,2017-02-14,2017-02-28,15,13,36.7037,-120.0935,60.7,27.992307692307694,363.90000000000003,91,77.92307692307692,2017,2,28
62,2017-02-28,2017-02-28,1,4,36.6914,-119.3448,25.3,18.150000000000002,72.60000000000001,81,71.25,2017,2,28
63,2017-02-01,2017-02-01,1,1,36.6918,-114.6947,7.1,7.1,7.1,55,55.0,2017,2,1
64,2017-02-12,2017-02-14,3,4,36.713,-119.6459,23.9,16.499999999999996,65.99999999999999,77,65.0,2017,2,14
65,2017-02-21,2017-02-21,1,1,36.9557,-120.1201,35.1,35.1,35.1,61,61.0,2017,2,21
66,2017-02-28,2017-02-28,1,2,37.0465,-120.3683,19.2,17.35,34.7,70,63.0,2017,2,28
67,2017-02-26,2017-02-26,1,1,37.3221,-120.8011,3.5,3.5,3.5,52,52.0,2017,2,26
68,2017-02-25,2017-02-28,4,3,37.4232,-120.6192,16.9,10.266666666666666,30.799999999999997,71,60.666666666666664,2017,2,28
69,2017-02-26,2017-02-26,1,1,37.5706,-120.8711,5.6,5.6,5.6,63,63.0,2017,2,26
