latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime
32.5532,-117.0007,2019-08-02,Terra,MODIS,14.9,0,291.3,92,2019,8,2019-08-02
32.5548,-116.99,2019-08-02,Terra,MODIS,26.3,0,292.1,100,2019,8,2019-08-02
32.5555,-117.0066,2019-08-01,Terra,MODIS,15.1,0,306.6,52,2019,8,2019-08-01
32.5606,-116.7636,2019-07-12,Aqua,MODIS,21.1,0,313.5,66,2019,7,2019-07-12
32.5635,-114.5969,2019-06-03,Terra,MODIS,75.3,0,312.8,56,2019,6,2019-06-03
32.5794,-114.6637,2019-12-14,Terra,MODIS,36.3,0,293.9,75,2019,12,2019-12-14
32.6032,-114.5783,2019-02-08,Terra,MODIS,7.3,0,292.3,53,2019,2,2019-02-08
32.6064,-114.6197,2019-02-01,Terra,MODIS,27.8,0,293.9,86,2019,2,2019-02-01
32.6085,-114.6412,2019-02-04,Aqua,MODIS,10.2,0,298.9,67,2019,2,2019-02-04
32.618,-116.1331,2019-12-19,Aqua,MODIS,5.5,0,288.3,54,2019,12,2019-12-19
32.6182,-116.1261,2019-11-23,Terra,MODIS,6.2,0,288.0,53,2019,11,2019-11-23
32.6495,-114.652,2019-06-25,Terra,MODIS,43.4,0,293.3,69,2019,6,2019-06-25
32.6517,-114.6249,2019-06-25,Aqua,MODIS,24.5,0,294.7,81,2019,6,2019-06-25
32.6565,-114.6376,2019-06-25,Aqua,MODIS,23.2,0,293.7,78,2019,6,2019-06-25
32.6584,-116.2738,2019-01-07,Terra,MODIS,11.0,0,284.2,70,2019,1,2019-01-07
32.6613,-115.6377,2019-11-23,Terra,MODIS,15.1,0,295.4,61,2019,11,2019-11-23
32.6739,-115.6576,2019-11-23,Terra,MODIS,165.1,0,298.9,100,2019,11,2019-11-23
32.6891,-115.3949,2019-06-26,Aqua,MODIS,14.3,0,319.6,62,2019,6,2019-06-26
32.6949,-115.6076,2019-02-23,Aqua,MODIS,51.5,0,305.7,91,2019,2,2019-02-23
32.6964,-115.5943,2019-02-23,Aqua,MODIS,65.7,0,302.4,93,2019,2,2019-02-23
32.7232,-115.6407,2019-06-09,Terra,MODIS,35.0,0,317.4,88,2019,6,2019-06-09
32.7403,-115.5926,2019-06-02,Terra,MODIS,56.0,0,313.7,94,2019,6,2019-06-02
32.7406,-114.4539,2019-10-23,Aqua,MODIS,10.6,0,313.3,50,2019,10,2019-10-23
