STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,month,day,drought_index,wind_danger
72591024216,2021-01-01,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",47.2,24,36.2,24,1021.3,24,8.4,24,9.7,24,6.3,24,12.0,,60.1, ,36.0, ,0.0,G,,0,1,1,60.1,132.0
72591024216,2021-01-02,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",47.8,24,42.5,24,1023.2,15,10.8,24,5.0,24,3.0,24,8.9,,53.1, ,37.9, ,0.01,G,,10000,1,2,52.1,47.16999999999997
72591024216,2021-01-03,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",48.7,24,45.0,24,1024.0,14,11.0,24,3.9,24,4.4,24,7.0,,52.0, ,46.0, ,0.03,G,,10000,1,3,49.0,25.90000000000002
72591024216,2021-01-04,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",50.5,24,46.2,24,1016.8,13,4.8,24,4.7,24,11.4,24,24.1,32.1,59.0, ,46.9, ,0.1,G,,10000,1,4,49.0,103.62999999999994
72591024216,2021-01-05,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",48.7,24,38.6,24,1023.9,24,11.0,24,10.0,24,5.9,24,9.9,,59.0, ,41.0, ,0.47,G,,0,1,5,12.0,99.99000000000002
72591024216,2021-01-06,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",45.2,24,38.0,24,1023.5,24,10.6,24,9.8,24,4.5,24,11.1,,59.0, ,37.9, ,0.0,G,,10000,1,6,59.0,79.92000000000003
72591024216,2021-01-07,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",43.4,24,37.2,24,1025.0,17,12.2,24,8.3,24,5.8,24,9.9,,55.0,*,35.6,*,0.1,G,,100000,1,7,45.0,61.37999999999996
72591024216,2021-01-08,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",47.8,24,41.4,24,1023.6,21,10.8,24,8.3,24,2.6,24,9.9,,57.9, ,36.0, ,0.15,G,,10000,1,8,42.9,63.359999999999985
72591024216,2021-01-09,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",46.2,24,34.4,24,1026.0,24,13.0,24,10.0,24,6.6,24,13.0,,62.1, ,35.1, ,0.04,G,,0,1,9,58.1,153.40000000000006
72591024216,2021-01-10,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",46.3,24,36.0,24,1025.2,24,12.2,24,9.8,24,3.5,24,7.0,,62.1, ,35.1, ,0.0,G,,0,1,10,62.1,72.09999999999998
72591024216,2021-01-11,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",45.7,24,38.3,24,1025.2,24,12.2,24,10.0,24,3.9,24,8.0,,55.9, ,36.0, ,0.0,G,,0,1,11,55.9,59.200000000000045
72591024216,2021-01-12,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",48.0,24,41.7,24,1024.7,24,11.7,24,8.8,24,1.5,24,5.1,,55.9, ,37.0, ,0.0,G,,10000,1,12,55.9,32.12999999999998
72591024216,2021-01-13,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",52.3,24,46.1,24,1027.9,24,15.0,24,6.0,24,3.9,24,7.0,,60.1, ,44.1, ,0.02,G,,0,1,13,58.1,43.39999999999997
72591024216,2021-01-14,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",54.3,24,44.5,24,1028.4,24,15.6,24,10.0,24,6.2,24,9.9,,72.0, ,42.1, ,0.0,G,,0,1,14,72.0,97.01999999999998
72591024216,2021-01-15,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",52.5,24,41.8,24,1026.8,24,13.9,24,9.5,24,3.7,24,8.0,,72.0, ,41.0, ,0.0,G,,0,1,15,72.0,85.60000000000002
72591024216,2021-01-16,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",56.1,24,41.5,24,1023.6,24,10.8,24,10.0,24,7.8,24,15.0,20.0,75.9, ,41.0, ,0.0,G,,0,1,16,75.9,219.00000000000003
72591024216,2021-01-17,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",67.0,24,34.8,24,1020.9,24,8.2,24,10.0,24,10.7,24,18.1,28.0,79.0, ,46.9, ,0.0,G,,0,1,17,79.0,582.82
72591024216,2021-01-18,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",67.6,24,20.7,24,1018.8,24,6.1,24,10.0,24,17.3,24,22.9,35.0,79.0, ,59.0, ,0.0,G,,0,1,18,79.0,1074.0099999999998
72591024216,2021-01-19,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",57.9,24,17.5,24,1020.9,24,8.2,24,10.0,24,14.7,24,20.0,29.9,72.0, ,48.9, ,0.0,G,,0,1,19,72.0,808.0
72591024216,2021-01-20,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",53.9,24,18.5,24,1020.1,24,7.3,24,9.7,24,7.3,24,14.0,,68.0, ,39.9, ,0.0,G,,0,1,20,68.0,495.59999999999997
72591024216,2021-01-21,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",45.7,24,27.4,24,1018.3,24,5.4,24,10.0,24,3.0,24,7.0,,68.0, ,35.1, ,0.0,G,,0,1,21,68.0,128.10000000000002
72591024216,2021-01-22,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",47.3,24,35.1,24,1012.2,24,999.4,24,10.0,24,3.7,24,8.9,,57.9, ,35.1, ,0.0,G,,10000,1,22,57.9,108.57999999999997
72591024216,2021-01-23,40.15186,-122.25478,108.0,"RED BLUFF MUNICIPAL AIRPORT, CA US",46.7,24,36.0,24,1013.7,21,0.9,24,9.5,24,5.0,24,18.1,22.0,62.1, ,34.0, ,0.0,G,,0,1,23,62.1,193.67000000000007
